Feature,Importance
overage_ratio,2816
avg3rev,2137
avg3mou,2037
change_mou,2010
change_rev,1511
revenue_per_minute,1125
totmrc_Mean,788
eqpdays,227
mou_cvce_Mean,215
avg6rev,184
customer_care_ratio,171
avg6mou,160
avgrev,150
mou_opkv_Mean,149
da_Mean,149
avg3qty,138
unan_vce_Mean,137
completed_call_ratio,135
roam_Mean,132
mou_peav_Mean,131
crclscod,129
mou_rvce_Mean,120
opk_vce_Mean,114
avgqty,113
months,110
area,109
avg6qty,102
drop_blk_Mean,102
avgmou,100
peak_vce_Mean,100
totrev,94
dropped_call_ratio,93
mouiwylisv_Mean,86
adjrev,83
iwylis_vce_Mean,83
blck_vce_Mean,83
recv_vce_Mean,83
mouowylisv_Mean,82
attempt_Mean,71
asl_flag,71
complete_Mean,68
totmou,67
owylis_vce_Mean,67
adjqty,66
totcalls,64
comp_vce_Mean,60
cc_mou_Mean,58
inonemin_Mean,58
drop_vce_Mean,57
threeway_Mean,55
lor,53
ethnic,48
ccrndmou_Mean,45
plcd_vce_Mean,45
income,44
hnd_price,43
callwait_Mean,42
adjmou,42
marital,38
custcare_Mean,37
prizm_social_one,35
phones,34
adults,29
uniqsubs,26
HHstatin,26
kid11_15,23
mou_opkd_Mean,23
mou_cdat_Mean,22
numbcars,22
models,21
dualband,19
mou_pead_Mean,18
new_cell,18
dwlltype,17
kid3_5,16
dwllsize,15
rv,15
kid16_17,14
hnd_webcap,13
opk_dat_Mean,13
kid0_2,13
actvsubs,11
forgntvl,9
kid6_10,8
refurb_new,7
plcd_dat_Mean,7
peak_dat_Mean,7
ownrent,6
truck,6
comp_dat_Mean,5
drop_dat_Mean,4
creditcd,4
infobase,3
unan_dat_Mean,2
recv_sms_Mean,2
blck_dat_Mean,0
callfwdv_Mean,0
